86,5596,6992,4635,958,1047,3900,563,3492,133,1351,16260,5082,15577,104,4546,125,13771,8813,19727,2310,1724,1168,565,1473,748,3339,
4141,1062,127,146,4209,51,26,59,4429,130,16,5247,87,68,3736,52,0,2636,897,223,2303,69,42,0,272,4,272,
9538,4,1002,31,6242,0,0,8242,5356,0,4124,2557,11,52,11182,2,91,3937,796,4751,3342,0,2,0,1176,23,3878,
2844,229,111,1104,10959,157,614,202,8805,119,13,1459,283,642,3345,124,9,2091,2796,69,1702,186,269,0,683,28,17313,
7093,1341,6271,18362,4134,2003,2116,649,1865,181,341,8404,5171,17538,1795,3658,432,33537,39471,8154,1321,1723,1332,2516,976,231,18418,
1946,26,10,13,2538,1742,4,23,3817,4,1,2221,14,23,2502,13,0,1394,330,712,1998,0,8,0,443,0,396,
3376,98,14,52,5920,60,1389,1640,4113,5,6,2417,326,1180,2033,24,0,3703,1910,80,1764,2,77,0,695,4,13961,
5655,161,46,57,8700,105,23,45,5960,8,29,636,371,463,6282,78,6,1414,822,1205,1225,2,165,0,2429,6,2197,
6020,2038,13206,5091,10759,2616,3439,119,64,48,917,7916,4198,34357,10688,2697,247,3551,16411,11477,685,3909,62,358,32,4728,961,
651,0,0,2,555,0,0,0,225,4,1,0,0,3,550,0,0,0,2,0,674,0,0,0,3,0,8,
1005,164,35,38,4178,101,20,187,2736,11,57,657,109,433,398,66,0,181,1695,98,176,21,137,0,372,0,1609,
10811,285,505,1183,16237,466,277,138,15808,4,555,8644,558,522,8224,449,12,71,2811,1950,3181,445,115,5,7836,19,5776,
7783,2180,43,17,8705,110,7,33,8321,6,12,183,1876,326,5137,3491,4,57,2459,31,2047,37,36,0,778,8,2819,
7295,484,5930,6568,15644,1375,18796,517,8583,228,1336,643,452,1813,6142,467,172,525,10343,12929,1496,791,372,50,631,183,8270,
1785,1947,3963,3023,1197,989,4784,324,2356,86,1035,8166,6523,20368,4122,5063,135,12894,6314,5408,8268,3004,2652,855,580,362,1237,
5261,99,70,50,8042,77,45,5082,4779,14,34,3539,95,140,5525,2000,0,6050,2029,1736,1834,2,83,0,626,0,1033,
9,0,0,0,1,1,0,0,9,0,0,0,0,0,2,0,0,1,5,0,2615,0,2,0,0,0,9,
15483,1506,2300,2652,20667,742,1564,602,15683,67,1222,1256,2717,1990,12104,1441,71,2607,10038,3913,3011,806,363,0,2618,61,10276,
3947,249,4199,139,13906,271,124,5830,7799,46,1049,1860,3231,1706,3929,4031,431,173,11243,16947,4295,48,822,0,1278,5,67651,
8993,327,1082,150,20782,395,158,6218,24860,31,23,1714,387,360,8564,214,6,8778,6426,3281,3334,37,598,0,2699,231,9084,
1926,2150,2212,1529,1729,553,1286,29,1919,33,253,5968,3716,8384,452,2467,14,6490,6810,5082,30,197,9,162,62,157,215,
2440,0,0,3,8427,0,5,0,3446,0,3,12,0,6,1225,0,0,39,23,1,232,38,0,0,66,2,27,
2613,155,27,157,1969,79,18,784,1901,2,114,379,73,633,1713,69,0,414,601,88,56,0,28,0,80,11,462,
350,12,278,2,719,18,4,100,939,0,0,29,8,4,287,538,5,2,41,567,164,3,15,1,243,0,386,
764,237,867,475,935,82,250,75,826,11,39,1148,942,752,656,1319,0,652,1568,831,96,20,149,61,2,110,14030,
1371,4,4,2,3499,0,2,10,1375,2,4,179,12,7,664,10,4,0,4,3,60,7,9,0,186,396,119,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
